"","V1","V2","V3","V4","V5","V6"
"88","매출@매출","수익@제상품매출","재화의매입","지분의취득","자금대여거래@합병으로인한감소","배당금수익@식대등@매입@매입"
"89","매출@유무형자산매각","비용@유형자산매입","제공받은용역","기타거래","매입@광고선전비","배당금수익@식대등@매출@기타수익"
"90","매출@기타수익","매입주","유상증자참여","채권@기타금융자산","채무@장기임대보증금","용역비등@복리후생비등@매입@매입"
"91","매입@매입","매출주","기타수입","비용@매입","제품및상품매출","용역비등@복리후생비등@매출@기타수익"
"92","매입@유무형자산매입","상품매입","지급수수료로열티","비용@유형자산취득","로열티수입","용역비등@복리후생비등@매출@매출"
"93","매입@기타비용","영업수익","현금출자@취득","채권@매출채권@유의적인영향을행사하는기업","임대료수입","임차료등@매입@매입"
"94","대여@회수","영업비용","현금출자@처분및감자","채권@기타채권@유의적인영향을행사하는기업","수익계","도급공사@지분변동@지분변동"
"95","대여@회수제각","기타수익및자산매각등주","매입@관계기업투자주식처분손실","채무@매입채무@유의적인영향을행사하는기업","자재매입","도급공사등@외주비@매입@매입"
"96","유무형자산취득","기타비용및자본적지출등주","매입@교육훈련비","채무@기타채무@유의적인영향을행사하는기업","판매지원수수료","도급공사등@외주비@매출@매출"
"97","유상감자","기타수익및자산매각등","매입@매출","매출@매출@유의적인영향을행사하는기업","비용계","도급공사등@임차료등@매입@기타비용"
"98","현금출자","기타비용및자본적지출등","매입@매출원가","매출@배당수익@유의적인영향을행사하는기업","매출@영업수익","도급공사등@임차료등@매출@매출"
"99","배당금","매입액","매입@매출원가등","매입@원재료매입@유의적인영향을행사하는기업","매입@영업비용","배당등@매출@기타수익"
"100","채권@미수금등","매출액","매입@배당금","매입@유형자산취득@유의적인영향을행사하는기업","채권@대여금등","배당등@매출@매출"
"101","채무@미지급금등","배당금수령액","매입@수선유지비","매입@기타매입@유의적인영향을행사하는기업","현금출자등@현금출자등","용역비@매출@매출"
"102","수익거래@매출","배당금지급액","매입@수입임대료","매입@기타매입","유형자산의매각","용역비@지분변동@지분변동"
"103","수익거래@기타","현금출자액","매입@연료유지비등","매출@유형자산매각","유형자산의매입","용역비@복리후생비등@매입@매입"
"104","비용거래@매입","채권@기타수취채권보증금등","매입@이자비용","매입@유형자산","기타영업수익","용역비@복리후생비등@매출@기타수익"
"105","비용거래@기타","매출@배당금수익","매입@이자수익","자산@대출채권","채권@매출채권및미수금","용역비@복리후생비등@매출@매출"
"106","채권@기타채권및기타금융자산","매입@임차료","매입@임대료등","자산@미수금","채권@장단기선급비용","용역비@식대등@매입@매입"
"107","유상증자","채무@보증예수금","매입@잡손실","자산@미수수익","채권@장단기보증금","용역비@식대등@매출@기타수익"
"108","주식취득","채무@기타채무보증예수금","매입@잡이익","자산@임차보증금","채권@장단기대여금","상품@임가공비@매입"
"109","주식매각","단기대여금","매입@잡이익등","부채@보험계약부채등","채무@매입채무및미지급금","임차료임대료@임차료임대료@매출"
"110","대여금회수","출자등@수취","매입@전력수도료등","부채@미지급비용","채무@장단기선수수익","비용@비용"
"111","수익","출자등@제공","매입@종속기업투자주식처분손실","부채@미지급금","채무@장단기수입보증금","배당금수령등"
"112","자금대여","기타자산매각등","매입@종속기업투자주식처분이익","부채@임대보증금","원재료매출","영업수익@영업수익"
"113","자금상환","기타자산매입","매입@지급수수료","보험료수익","상품매출","영업수익@수입임대료"
"114","자산취득","고정자산매입@무형자산매입","매입@지급임차료등","영업외잡이익","자금@자금대여","영업수익@기타"
"115","대여","고정자산처분@유형자산처분","매출@관계기업투자주식처분손실","임대료수익","자금@자금회수","영업비용@영업비용"
"116","회수","고정자산처분@무형자산처분","매출@교육훈련비","기타채권주","이자수익@이자수익","영업비용@기타"
"117","비용","고정자산매입@유형자산매입","매출@매출원가","기타채무주","이자비용@이자비용","채권@외상매출금"
"118","채권@기타","기타자산","매출@매출원가등","기초금액","매입@고정자산취득","자산매입"
"119","채권@대출채권","예치금","매출@배당금","기말금액","매입@협력작업비","영업수익@게임수익"
"120","채권@보증금","파생상품자산","매출@수선유지비","관계기업처분","매입@상품매입","영업수익@기타수익"
"121","채무@기타","수수료수익","매출@수입임대료","지분취득@지분취득","채권주@매출채권","영업수익@이자수익"
"122","채무@사채등","이자수익","매출@연료유지비등","상품및원재료매입","채권주@기타","영업비용@지급수수료"
"123","비용@수수료비용","수수료비용","매출@이자비용","매도가능금융자산의취득","대출증감@대여","영업비용@광고선전비"
"124","비용@임차료등","이자비용","매출@이자수익","미지급비용","대출증감@회수","투자지분매수"
"125","수익@배당수익","대출확약","매출@임대료등","임대수익","대출증감@기말","외상매입금"
"126","수익@수수료수익","사모사채인수확약","매출@잡손실","무형자산매입","대출증감@기초","반품매각"
"127","장기기타채권","신용공여약정","매출@잡이익","판매비와관리비등","대손충당금@대손충당금","원부재료처분"
"128","장기기타채무","장기인수약정","매출@잡이익등","임차보증금","현물출자","임가공비용"
"129","자산처분","채무보증","매출@전력수도료등","재화및용역매출","상품및제품매출위탁거래","임가공수익"
"130","배당금의지급","배당금수령","매출@종속기업투자주식처분손실","재화및용역매입","상품및제품매출위탁거래등","상환"
"131","무형자산취득","고정자산취득","매출@종속기업투자주식처분이익","채권@임차보증금등","제품매출위탁거래","계약부채"
"132","미수금등","채권@계약자산","매출@지급수수료","채무@임대보증금등","제품매출위탁거래등","계약자산"
"133","미지급금등","자금대여거래@기초","매출@지급임차료등","매출@임대수익","부재료매입","사업양수도"
"134","유형자산처분","자금대여거래@증가","채권@기타의유동부채","현금및예치금","임차료등","채권@금융상품등"
"135","재고자산매입","자금대여거래@감소","채권@기타의유동자산","청산배당","포장비등","차입금차입"
"136","유형자산매입","배당금수익@배당금수익","채권@리스부채","채무@수입보증금","부재료매입채무","채무인수"
"137","자금대여거래@이자수익","매입@원재료매입","채권@매입채무","기타영업손익","상품매입채무","출자전환영구채차환"
